transaction_id,date,platform,customer_id,customer_segment,region_city,product_id,product_category,order_status,number_of_orders,total_order_value,courier_name,delivery_status,delivery_time_days,customer_lifetime_value,acquisition_source,acquisition_cost,gross_margin_percentage,campaign_id,discount_percentage,platform_commission,competitor_price,weather_condition,peak_season_flag,customer_satisfaction,review_count,courier_reliability,market_demand_index,estimated_financial_loss,delivery_success_rate,paragraph
TRX-2023-001,16/08/2023,Shopee,CUST-001,Regular,Bacolod,PROD-Q4,Electronics,Failed,70,91140,CourierY,Success,3.5,209432,Google,314,37.5,CAMP-Q2-001,4.2,5.3,142923,normal,0,3.6,75,8.3,9,1775.19,92.1,"""In the transaction with ID TRX-2023-001 on 16/08/2023, a total of 70 orders were placed on the Shopee platform by customer CUST-001, who belongs to the Regular segment in Bacolod. The product with ID PROD-Q4, categorized under Electronics, was sold with an order status of Failed. The total order value reached 91140, and the delivery was handled by CourierY, achieving a delivery status of Success with a delivery time of 3.5 days. The customer lifetime value was estimated at 209432, with an acquisition cost of 314 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 4.2%. The platform commission was 5.3%, while the competitor price stood at 142923. The weather condition during this transaction was normal, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 3.6 based on 75 reviews, and the courier reliability was measured at 8.3. The market demand index was 9, with an estimated financial loss of 1775.19 and a delivery success rate of 92.1."""
TRX-2023-002,22/02/2023,Shopee,CUST-002,Regular,Manila,PROD-Y5,Health & Beauty,Completed,108,85428,CourierY,Delayed,3.8,181455,Google,545,27.8,CAMP-Q2-001,3.0,6.1,86986,heavy_rain,1,3.1,30,5.6,1,1006.52,85.55,"""In the transaction with ID TRX-2023-002 on 22/02/2023, a total of 108 orders were placed on the Shopee platform by customer CUST-002, who belongs to the Regular segment in Manila. The product with ID PROD-Y5, categorized under Health & Beauty, was sold with an order status of Completed. The total order value reached 85428, and the delivery was handled by CourierY, achieving a delivery status of Delayed with a delivery time of 3.8 days. The customer lifetime value was estimated at 181455, with an acquisition cost of 545 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 3.0%. The platform commission was 6.1%, while the competitor price stood at 86986. The weather condition during this transaction was heavy_rain, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.1 based on 30 reviews, and the courier reliability was measured at 5.6. The market demand index was 1, with an estimated financial loss of 1006.52 and a delivery success rate of 85.55."""
TRX-2023-003,01/06/2023,Amazon,CUST-003,Premium,Iloilo,PROD-R10,Fashion,Completed,147,201243,CourierY,Success,3.7,135888,Referral,238,28.8,CAMP-Q2-003,17.3,9.2,87915,normal,0,4.6,89,9.2,7,1086.12,85.47,"""In the transaction with ID TRX-2023-003 on 01/06/2023, a total of 147 orders were placed on the Amazon platform by customer CUST-003, who belongs to the Premium segment in Iloilo. The product with ID PROD-R10, categorized under Fashion, was sold with an order status of Completed. The total order value reached 201243, and the delivery was handled by CourierY, achieving a delivery status of Success with a delivery time of 3.7 days. The customer lifetime value was estimated at 135888, with an acquisition cost of 238 from the Referral source. The campaign ID associated with this transaction is CAMP-Q2-003, which offered a discount of 17.3%. The platform commission was 9.2%, while the competitor price stood at 87915. The weather condition during this transaction was normal, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 4.6 based on 89 reviews, and the courier reliability was measured at 9.2. The market demand index was 7, with an estimated financial loss of 1086.12 and a delivery success rate of 85.47."""
TRX-2023-004,09/03/2023,Lazada,CUST-004,New,Davao,PROD-U9,Automotive,Completed,122,106140,CourierY,Success,4.8,90204,Google,423,26.1,CAMP-Q2-001,1.8,8.7,121431,typhoon,0,4.3,19,7.3,4,1478.54,86.09,"""In the transaction with ID TRX-2023-004 on 09/03/2023, a total of 122 orders were placed on the Lazada platform by customer CUST-004, who belongs to the New segment in Davao. The product with ID PROD-U9, categorized under Automotive, was sold with an order status of Completed. The total order value reached 106140, and the delivery was handled by CourierY, achieving a delivery status of Success with a delivery time of 4.8 days. The customer lifetime value was estimated at 90204, with an acquisition cost of 423 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 1.8%. The platform commission was 8.7%, while the competitor price stood at 121431. The weather condition during this transaction was typhoon, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 4.3 based on 19 reviews, and the courier reliability was measured at 7.3. The market demand index was 4, with an estimated financial loss of 1478.54 and a delivery success rate of 86.09."""
TRX-2023-005,04/04/2023,Shopee,CUST-005,Regular,Davao,PROD-N10,Health & Beauty,Completed,120,136920,CourierY,Failed,4.5,256599,Instagram,411,37.9,CAMP-Q2-001,18.4,6.6,149898,typhoon,0,5.0,45,7.5,10,1962.42,86.85,"""In the transaction with ID TRX-2023-005 on 04/04/2023, a total of 120 orders were placed on the Shopee platform by customer CUST-005, who belongs to the Regular segment in Davao. The product with ID PROD-N10, categorized under Health & Beauty, was sold with an order status of Completed. The total order value reached 136920, and the delivery was handled by CourierY, achieving a delivery status of Failed with a delivery time of 4.5 days. The customer lifetime value was estimated at 256599, with an acquisition cost of 411 from the Instagram source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 18.4%. The platform commission was 6.6%, while the competitor price stood at 149898. The weather condition during this transaction was typhoon, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 5.0 based on 45 reviews, and the courier reliability was measured at 7.5. The market demand index was 10, with an estimated financial loss of 1962.42 and a delivery success rate of 86.85."""
TRX-2023-006,06/12/2023,Shopee,CUST-006,Premium,Cagayan de Oro,PROD-Q1,Fashion,Failed,66,38280,CourierY,Delayed,2.8,109393,Instagram,468,21.8,CAMP-Q2-002,9.6,7.3,113578,typhoon,1,3.0,61,7.6,2,1329.34,95.28,"""In the transaction with ID TRX-2023-006 on 06/12/2023, a total of 66 orders were placed on the Shopee platform by customer CUST-006, who belongs to the Premium segment in Cagayan de Oro. The product with ID PROD-Q1, categorized under Fashion, was sold with an order status of Failed. The total order value reached 38280, and the delivery was handled by CourierY, achieving a delivery status of Delayed with a delivery time of 2.8 days. The customer lifetime value was estimated at 109393, with an acquisition cost of 468 from the Instagram source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 9.6%. The platform commission was 7.3%, while the competitor price stood at 113578. The weather condition during this transaction was typhoon, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.0 based on 61 reviews, and the courier reliability was measured at 7.6. The market demand index was 2, with an estimated financial loss of 1329.34 and a delivery success rate of 95.28."""
TRX-2023-007,21/05/2023,Amazon,CUST-007,New,Iloilo,PROD-J4,Automotive,Delayed,135,93825,CourierZ,Delayed,4.3,99135,Google,275,39.7,CAMP-Q2-001,14.8,5.6,87453,typhoon,1,3.4,76,8.9,3,1074.14,92.93,"""In the transaction with ID TRX-2023-007 on 21/05/2023, a total of 135 orders were placed on the Amazon platform by customer CUST-007, who belongs to the New segment in Iloilo. The product with ID PROD-J4, categorized under Automotive, was sold with an order status of Delayed. The total order value reached 93825, and the delivery was handled by CourierZ, achieving a delivery status of Delayed with a delivery time of 4.3 days. The customer lifetime value was estimated at 99135, with an acquisition cost of 275 from the Google source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 14.8%. The platform commission was 5.6%, while the competitor price stood at 87453. The weather condition during this transaction was typhoon, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 3.4 based on 76 reviews, and the courier reliability was measured at 8.9. The market demand index was 3, with an estimated financial loss of 1074.14 and a delivery success rate of 92.93."""
TRX-2023-008,01/12/2023,Lazada,CUST-008,New,Cebu,PROD-B10,Electronics,Delayed,166,221610,CourierY,Success,3.9,289083,Facebook,560,30.9,CAMP-Q2-003,2.3,5.6,116652,normal,1,4.3,88,9.0,8,1084.74,98.56,"""In the transaction with ID TRX-2023-008 on 01/12/2023, a total of 166 orders were placed on the Lazada platform by customer CUST-008, who belongs to the New segment in Cebu. The product with ID PROD-B10, categorized under Electronics, was sold with an order status of Delayed. The total order value reached 221610, and the delivery was handled by CourierY, achieving a delivery status of Success with a delivery time of 3.9 days. The customer lifetime value was estimated at 289083, with an acquisition cost of 560 from the Facebook source. The campaign ID associated with this transaction is CAMP-Q2-003, which offered a discount of 2.3%. The platform commission was 5.6%, while the competitor price stood at 116652. The weather condition during this transaction was normal, and it was 1 that it fell within the peak season. Customer satisfaction was rated at 4.3 based on 88 reviews, and the courier reliability was measured at 9.0. The market demand index was 8, with an estimated financial loss of 1084.74 and a delivery success rate of 98.56."""
TRX-2023-009,08/05/2023,Zalora,CUST-009,Premium,Cebu,PROD-R10,Automotive,Delayed,199,184473,CourierX,Success,3.0,299299,Facebook,330,32.2,CAMP-Q2-002,21.3,7.6,98961,typhoon,0,3.0,63,6.9,3,1499.9,93.48,"""In the transaction with ID TRX-2023-009 on 08/05/2023, a total of 199 orders were placed on the Zalora platform by customer CUST-009, who belongs to the Premium segment in Cebu. The product with ID PROD-R10, categorized under Automotive, was sold with an order status of Delayed. The total order value reached 184473, and the delivery was handled by CourierX, achieving a delivery status of Success with a delivery time of 3.0 days. The customer lifetime value was estimated at 299299, with an acquisition cost of 330 from the Facebook source. The campaign ID associated with this transaction is CAMP-Q2-002, which offered a discount of 21.3%. The platform commission was 7.6%, while the competitor price stood at 98961. The weather condition during this transaction was typhoon, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 3.0 based on 63 reviews, and the courier reliability was measured at 6.9. The market demand index was 3, with an estimated financial loss of 1499.9 and a delivery success rate of 93.48."""
TRX-2023-010,10/10/2023,Zalora,CUST-010,Premium,Iloilo,PROD-X1,Health & Beauty,Failed,144,81792,CourierY,Delayed,2.9,202021,Organic,466,33.3,CAMP-Q2-001,7.7,7.1,97875,typhoon,0,3.8,59,6.3,4,1759.16,88.96,"""In the transaction with ID TRX-2023-010 on 10/10/2023, a total of 144 orders were placed on the Zalora platform by customer CUST-010, who belongs to the Premium segment in Iloilo. The product with ID PROD-X1, categorized under Health & Beauty, was sold with an order status of Failed. The total order value reached 81792, and the delivery was handled by CourierY, achieving a delivery status of Delayed with a delivery time of 2.9 days. The customer lifetime value was estimated at 202021, with an acquisition cost of 466 from the Organic source. The campaign ID associated with this transaction is CAMP-Q2-001, which offered a discount of 7.7%. The platform commission was 7.1%, while the competitor price stood at 97875. The weather condition during this transaction was typhoon, and it was 0 that it fell within the peak season. Customer satisfaction was rated at 3.8 based on 59 reviews, and the courier reliability was measured at 6.3. The market demand index was 4, with an estimated financial loss of 1759.16 and a delivery success rate of 88.96."""
